Christopher	_		Sim			
Sim	_		fue			
fue	_		el			
el	_		legendario			
legendario	_		comandante			
comandante	_		de			
de	_		la			
la	_		Resistencia			
Resistencia	_		que			
que	_		resistió			
resistió	_		el			
el	_		ataque			
ataque	_		alienígena			
alienígena	_		Ashiyyur			
Ashiyyur	_		que			
que	_		amenazaba			
amenazaba	_		a			
a	_		toda			
toda	_		la			
la	_		humanidad			
humanidad				.	\n\n	Después
Después	_		de			
de	_		años			
años	_		de			
de	_		lucha			
lucha	_		contra			
contra	_		un			
un	_		enemigo			
enemigo	_		que			
que	_		era			
era	_		más			
más	_		fuerte			
fuerte				,	_	fue
fue	_		abandonado			
abandonado	_		por			
por	_		su			
su	_		tripulación			
tripulación				,	_	ya
ya	_		que			
que	_		consideraban			
consideraban	_		que			
que	_		la			
la	_		guerra			
guerra	_		era			
era	_		una			
una	_		causa			
causa	_		perdida			
perdida				.	_	Sim
Sim				,	_	sin
sin	_		embargo			
embargo				,	_	recogió
recogió	_		un			
un	_		puñado			
puñado	_		de			
de	_		voluntarios			
voluntarios	_		y			
y	_		ganó			
ganó	_		una			
una	_		gran			
gran	_		batalla			
batalla	_		cerca			
cerca	_		de			
de	_		Rigel			
Rigel				,	_	deteniendo
deteniendo	_		así			
así	_		el			
el	_		ataque			
ataque	_		y			
y	_		animando			
animando	_		a			
a	_		otros			
otros	_		mundos			
mundos	_		terrestres			
terrestres	_		a			
a	_		unirse			
unirse	_		a			
a	_		la			
la	_		lucha			
lucha	_		en			
en	_		defensa			
defensa	_		de			
de	_		la			
la	_		humanidad			
humanidad				.	_	A
A	_		pesar			
pesar	_		del			
del	_		éxito			
éxito				,	_	él
él	_		y			
y	_		su			
su	_		nave			
nave	_		legendaria			
legendaria				,	_	Corsarius
Corsarius				,	_	y
y	_		los			
los	_		voluntarios			
voluntarios				,	_	conocidos
conocidos	_		historicamente			
historicamente	_		como			
como	_		los			
los	_		Siete			
Siete				,	_	perdieron
perdieron	_		en			
en	_		la			
la	_		batalla			
batalla	_		final			
final				.	\n\n	Doscientos
Doscientos	_		años			
años	_		más			
más	_		tarde			
tarde				,	_	un
un	_		barco			
barco	_		de			
de	_		exploración			
exploración				,	_	descubre
descubre	_		algo			
algo	_		enormemente			
enormemente	_		extraño			
extraño	_		en			
en	_		La			
La	_		Dama			
Dama	_		Velada			
Velada				,	_	una
una	_		nebulosa			
nebulosa	_		lejana			
lejana				.	_	Gabriel
Gabriel	_		Benedict			
Benedict				,	_	un
un	_		arqueólogo			
arqueólogo				,	_	cree
cree	_		saber			
saber	_		lo			
lo	_		que			
que	_		han			
han	_		encontrado			
encontrado				.	_	Pero
Pero	_		muere			
muere	_		en			
en	_		un			
un	_		accidente			
accidente	_		durante			
durante	_		un			
un	_		salto			
salto	_		interestelar			
interestelar	_		antes			
antes	_		de			
de	_		revelar			
revelar	_		sus			
sus	_		sospechas			
sospechas				,	_	y
y	_		le			
le	_		toca			
toca	_		al			
al	_		sobrino			
sobrino	_		de			
de	_		Gabriel			
Gabriel				,	_	Alex
Alex				,	_	un
un	_		tranquilo			
tranquilo	_		comerciante			
comerciante	_		de			
de	_		antigüedades			
antigüedades				,	_	retomar
retomar	_		su			
su	_		trabajo			
trabajo				.	\n\n	Lo
Lo	_		único			
único	_		que			
que	_		sabe			
sabe	_		es			
es	_		que			
que	_		de			
de	_		alguna			
alguna	_		manera			
manera	_		está			
está	_		relacionado			
relacionado	_		con			
con	_		la			
la	_		guerra			
guerra	_		contra			
contra	_		los			
los	_		extraterrestres			
extraterrestres				.	_	Alex
Alex	_		Benedict			
Benedict	_		reconstruirá			
reconstruirá	_		poco			
poco	_		a			
a	_		poco			
poco	_		la			
la	_		vida			
vida	_		de			
de	_		algunos			
algunos	_		de			
de	_		los			
los	_		principales			
principales	_		personajes			
personajes	_		que			
que	_		rodearon			
rodearon	_		a			
a	_		Sim			
Sim	_		en			
en	_		su			
su	_		heroica			
heroica	_		epopeya			
epopeya				.	_	Alex
Alex	_		seguirá			
seguirá	_		el			
el	_		oscuro			
oscuro	_		camino			
camino	_		de			
de	_		una			
una	_		leyenda			
leyenda	_		hasta			
hasta	_		el			
el	_		corazón			
corazón	_		de			
de	_		una			
una	_		galaxia			
galaxia	_		alienígena			
alienígena				,	_	donde
donde	_		descubrirá			
descubrirá	_		una			
una	_		verdad			
verdad	_		más			
más	_		extraña			
extraña	_		que			
que	_		cualquier			
cualquier	_		ficción			
ficción	_		imaginable			
imaginable				.	\n\n\n\n\n\n	Jack
Jack	_		McDevitt			
McDevitt	\n\n\n\n\n\n		Un			
Un	_		talento			
talento	_		para			
para	_		la			
la	_		guerra			
guerra	\n\n\n\n\n\n		ePUB			
ePUB	_		v1			
v1				.		0
0	\n\n		Rov			
Rov	_		29			
29				.		08
08				.		11
11	\n\n\n\n\n\n		Título			
Título	_		original			
original				:	_	A
A	_		Talent			
Talent	_		for			
for	_		War			
War	\n\n		Traducción			
Traducción				:	_	Susana
Susana	_		Cella			
1989				/		01
01				,	_	Jack
Jack	_		McDevitt			
McDevitt	\n\n		Ilustración			
Ilustración	_		de			
de	_		cubierta			
cubierta				:	_	John
John	_		Harris			
Harris	_		via			
via	_		Agentur			
Agentur	_		Schlück			
Schlück	_		GmbH			
2010				,	_	La
La	_		Factoría			
Factoría	_		de			
de	_		Ideas			
Ideas				.	\n\n	C
C				/		Pico
Pico	_		Mulhacén			
Mulhacén				,	_	24
24				-		26
26				.	_	Pol
