>> Total palabras: 9225
>> Total diferentes: 2836
-------
cnt	freq
1	1982
2	368
3	145
4	93
5	50
6	34
7	29
10	20
8	19
9	16
12	7
15	7
11	6
16	5
19	4
20	4
13	3
14	3
18	3
17	2
24	2
46	2
96	2
21	1
23	1
25	1
35	1
38	1
39	1
40	1
41	1
44	1
50	1
52	1
53	1
55	1
56	1
58	1
66	1
74	1
97	1
101	1
114	1
116	1
145	1
147	1
201	1
230	1
239	1
242	1
277	1
380	1
496	1
-------
id	pal	freq
1	de	496
2	que	380
3	la	277
4	el	242
5	en	239
6	y	230
7	a	201
8	no	147
9	un	145
10	por	116
11	los	114
12	su	101
13	una	97
14	es	96
15	se	96
16	con	74
17	las	66
18	lo	58
19	pero	56
20	me	55
21	más	53
22	del	52
23	al	50
24	como	46
25	si	46
26	para	44
27	le	41
28	cuando	40
29	o	39
30	sus	38
31	mi	35
32	sobre	25
33	era	24
34	qué	24
35	ella	23
36	sin	21
37	había	20
38	he	20
39	hombre	20
40	yo	20
41	dos	19
42	este	19
43	esto	19
44	ser	19
45	ha	18
46	uno	18
47	ya	18
48	está	17
49	muy	17
50	bien	16
51	cada	16
52	dinero	16
53	mujer	16
54	puede	16
55	algo	15
56	dólares	15
57	ni	15
58	parte	15
59	también	15
60	tiene	15
61	vez	15
62	hay	14
63	menos	14
64	son	14
65	marido	13
66	todo	13
67	él	13
68	entonces	12
69	entre	12
70	lugar	12
71	nos	12
72	parece	12
73	porque	12
74	sea	12
75	así	11
76	cabeza	11
77	mujeres	11
78	otra	11
79	siempre	11
80	tan	11
81	amor	10
82	antes	10
83	aunque	10
84	años	10
85	bastante	10
86	caso	10
87	cualquier	10
88	esta	10
89	estoy	10
90	están	10
91	fue	10
92	les	10
93	modo	10
94	nada	10
95	nadie	10
96	poco	10
97	soy	10
98	tenis	10
99	unos	10
100	usted	10
101	aquel	9
102	bocadillo	9
103	cinco	9
104	decir	9
105	diez	9
106	día	9
107	hace	9
108	hasta	9
109	jamón	9
110	lector	9
111	matrimonio	9
112	momento	9
113	noche	9
114	nunca	9
115	sólo	9
116	tenía	9
117	6	8
118	alguna	8
119	aquella	8
120	aquellos	8
121	capaz	8
122	casa	8
123	criado	8
124	después	8
125	dijo	8
126	donde	8
127	días	8
128	ellos	8
129	mientras	8
130	nuevo	8
131	otro	8
132	señor	8
133	tiempo	8
134	todos	8
135	tres	8
136	además	7
137	ahora	7
138	año	7
139	brazos	7
140	buen	7
141	buena	7
142	centavos	7
143	cosa	7
144	cosas	7
145	cómo	7
146	desde	7
147	durante	7
148	e	7
149	ello	7
150	juego	7
151	luego	7
152	mayoría	7
153	mejor	7
154	mis	7
155	mucho	7
156	muchos	7
157	pantalones	7
158	país	7
159	podría	7
160	propia	7
161	sería	7
162	tabaco	7
163	tener	7
164	vida	7
165	algunos	6
166	algún	6
167	amigos	6
168	boca	6
169	cambio	6
170	casos	6
171	chica	6
172	comer	6
173	cuatro	6
174	cuenta	6
175	da	6
176	echar	6
177	eran	6
178	estaba	6
179	flunk	6
180	forma	6
181	fuera	6
182	hacia	6
183	mayor	6
184	mañana	6
185	melinda	6
186	monedas	6
187	necesidad	6
188	necesita	6
189	nueva	6
190	posible	6
191	restaurante	6
192	sale	6
193	sí	6
194	te	6
195	tiempos	6
196	unas	6
197	veces	6
198	ésta	6
199	acaso	5
200	acerca	5
201	alguno	5
202	ante	5
203	aún	5
204	bueno	5
205	casi	5
206	cazador	5
207	cierto	5
208	cincuenta	5
209	claro	5
210	coche	5
