>> Total palabras: 75628
>> Total diferentes: 11374
-------
id	pal	freq
1	asombro	11
2	degenera	1
3	balbuciendo	2
4	escribe	2
5	mortificó	1
6	escriba	1
7	obispo	2
8	parroquial	1
9	otro	84
10	teóricamente	1
11	ingalaterra	1
12	otra	68
13	igual	7
14	ciudades	2
15	filas	1
16	hermana	25
17	hermano	2
18	tío	7
19	nobleza	1
20	mentecatos	1
21	profundísimo	2
22	atrevía	7
23	dictado	1
24	sietemesino	1
25	vaciló	2
26	compuesta	1
27	muecas	2
28	pegada	1
29	suceda	1
30	sucede	3
31	guiaba	1
32	voluminosos	1
33	tenacidad	1
34	particulares	2
35	haber	16
36	virtuosos	1
37	agolparon	1
38	_trémolo_	1
39	suplicio	2
40	ignoraba	1
41	privilegiados	2
42	zamara	2
43	sabían	4
44	tenía	101
45	extenderse	1
46	esos	13
47	fuero	1
48	canción	1
49	vocación	1
50	expresamente	1
51	arrastradas	1
52	esquife	1
53	barítono	1
54	voluptuosas	1
55	admirar	2
56	aguarda	1
57	locos	2
58	sorprenderse	1
59	sujetándole	1
60	retoño	1
61	fue	92
62	desempeñar	2
63	admira	1
64	admiran	1
65	gritaban	1
66	alzose	2
67	presenta	4
68	aras	2
69	provecho	1
70	sillón	2
71	dolorosos	1
72	anatomía	2
73	deslizaba	1
74	apoderaba	2
75	renombre	1
76	arrastrole	1
77	siguiola	1
78	pisándola	1
79	acertar	1
80	jurar	1
81	luminoso	3
82	declarar	3
83	percibiendo	1
84	adquirió	2
85	aplicaba	1
86	pintó	3
87	circunscribiese	1
88	escribieron	1
89	luminosa	2
90	ligera	2
91	almacenista	1
92	experimentación	7
93	jactaba	1
94	niebla	1
95	ligero	1
96	llano	2
97	ultramarinos	2
98	pupilas	1
99	regazo	1
100	extendía	4
101	maximina	1
102	siguió	13
103	críticas	2
104	asiduo	1
105	cuartillas	3
106	baladí	1
107	iglesias	1
108	estrechó	3
109	recogiese	1
110	deudor	1
111	cesaba	3
112	asidua	1
113	vacilante	1
114	facilidad	3
115	hola	4
116	capitales	2
117	pacífico	2
118	cuchillo	3
119	hablemos	3
120	acritud	1
121	concepto	4
122	temas	1
123	camarero	1
124	defunción	1
125	empujó	2
126	interesase	2
127	matilde	3
128	vientos	1
129	avenía	1
130	robando	1
131	adquirir	6
132	rayos	3
133	dispensaba	1
134	escudos	1
135	vistiendo	1
136	herpético	1
137	cirio	2
138	absoluta	5
139	recién	3
140	bruselas_	1
141	crítico	2
142	ahorrando	1
143	cielo	24
144	espléndidamente	1
145	mella	1
146	crítica	1
147	podrían	2
148	mediante	1
149	aprendió	1
150	midiendo	1
151	hoy	28
152	microscópico	1
153	soledades	1
154	despegó	1
155	ocultaban	1
156	constante	5
157	esquelas	1
158	comparte	1
159	entendimiento	2
160	calidad	1
161	antiespasmódico	1
162	seda	3
163	crecía	1
164	sería	17
165	estrecha	4
166	vivía	12
167	sentir	12
168	secretos	5
169	extremada	3
170	radioso	1
171	avino	2
172	pucherito	1
173	chers	1
174	departir	1
175	líneas	2
176	romper	4
177	saliente	1
178	cerrada	1
179	sucesos	2
180	dejen	1
181	confundidos	1
182	víctimas	2
183	cerrado	4
184	febriles	1
185	baratos	1
186	vara	1
187	virgen	11
188	simpático	4
189	simpática	5
190	echaban	3
191	discurría	1
192	prácticamente	1
193	metódicas	1
194	imaginasen	1
195	costado	2
196	quicios	1
197	_i	1
198	mantenernos	1
199	boulevares	1
200	nobles	7
201	admirable	8
202	púrpura	1
203	laborioso	1
204	arrebatada	2
205	rencores	1
206	planchadora	1
207	océano	1
208	arrebatado	1
209	nervios	5
210	sochantre	1
211	dudaba	1
212	vaciadores	1
213	inmensos	2
214	revelaban	1
215	xx	1
216	sensaciones	3
217	represento	1
218	apresuradamente	2
219	soberbio	1
220	focas	1
221	intolerancia	1
222	soberbia	1
223	privativo	1
224	descompasados	1
225	sacarme	1
226	preceder	1
227	concebido	1
228	acaecía	1
229	clases	7
230	molestaban	1
231	xv	1
232	estrenó	1
233	ra	2
234	trompicones	1
235	sujetando	1
236	centenares	1
237	análogo	1
238	incansable	1
239	surgió	1
240	correcto	4
241	forjes	1
242	hablaba	24
243	justificado	1
244	recetó	1
245	aniquilado	2
246	asusta	1
247	trasladarse	2
248	vergüenza	12
249	traiga	1
250	movimientos	8
251	comprendiera	1
252	cofre	1
253	pérfida	1
254	alterar	1
255	arrástrame	1
256	adónde	4
257	espalda	6
258	deslumbrábale	1
259	gustasen	1
260	sonriente	6
261	competen	2
262	tantos	8
263	está	64
264	explícame	1
265	fuera	17
266	resplandecían	1
267	merma	1
268	triunfos	2
269	reputados	1
270	sentimentales	2
271	esenciales	1
272	disgustado	2
273	xiv	1
274	negó	4
275	xix	1
276	inocentes	3
277	contrajo	2
278	ceremonia	4
279	juzgaban	1
280	descendió	1
281	tenío	1
282	respondería	1
283	presintiendo	1
284	meditabundo	4
285	desprecios	2
286	cloruro	3
287	sonreían	1
288	clavando	3
289	atacará	1
290	tren	6
291	haya	17
292	cariño	17
293	fogosamente	1
294	tres	45
295	elementos	1
296	faltaba	4
297	este	132
298	afectuosos	1
299	esta	102
300	pupilaje	1
301	fundamentos	2
302	larguísimo	1
303	cortés	4
304	esto	69
305	mostraban	2
306	briosamente	1
307	zoófito	3
308	maldiciones	1
309	afición	4
310	traía	4
311	cesar	7
312	sitio	14
313	vacila	1
314	malgastar	2
315	comprimidos	1
316	generalmente	4
317	menudo	12
318	certero	1
319	favorecerla	1
320	preocupaciones	2
321	antropología	2
322	descoloridos	1
323	viejas	2
324	nuevos	1
325	querubín	2
326	cervecería	1
327	y	2072
328	revuelto	1
329	conversando	1
330	balbuceó	2
331	adiós	10
332	aspectos	1
333	sombrerito	1
334	médicos	2
335	reír	3
336	placenteras	1
337	pretendía	4
338	incompleto	1
339	haría	5
340	reía	7
341	cama	8
342	estudiaba	2
343	ánfora	1
344	clérigos	10
345	teresa	2
346	idéntico	1
347	esclavos	1
348	sentidos	6
349	arrastra	1
350	arrastre	1
351	mostraros	1
352	compararlo	1
353	besó	6
354	violado	1
355	bayeta	1
356	desistir	1
357	combinada	2
358	saludos	1
359	religiosos	3
360	rico	6
361	refinamiento	1
362	vacíos	2
363	protegía	1
364	rica	5
365	conducida	1
366	cegase	1
367	cerrarla	1
368	hondo	2
369	traslucir	1
370	modos	11
371	honda	3
372	adoratrices	2
373	degradación	1
374	desconcertar	1
375	propuso	6
376	coles	1
377	cetro	2
